Dir,Comments,Nem,Image,Y,X,Mag,Family,Genus,View,overall body length,distance of vulva from anterior ,% distance of vulva from anterior,stylet or spear length (stomatostyle or odontostyle),% distance from anterior to median bulb relative to length of esophagus,% distance of anterior phasmid from anterior of nematode in relation to body length,% distance of dorsal esophageal gland opening from stylet knobs in relation to stylet length,% distance of phasmid from anus in relation to length of tail,% distance of posterior phasmid from anterior of nematode in relation to body length,% length of anterior female gonad in relation to body length,% length of male gonad relative to body length,% length of posterior female gonad in relation to body length,(distance of dorsal esophageal gland opening from stylet knobs x 100)/(length of stylet),(distance of phasmid(when not erratic) from anus x 100)/( length of tail),body length / distance from anterior to base of esophageal glands,body length / distance from anterior to esophago-intestinal valve,body length / greatest body diameter,body length / tail length,capitulum length in µm,conus of stomatostyle/total stomatosyle length,distance from anterior end to excretory pore in µm,distance from base of stylet to median bulb valve/stylet length.,distance from vulva to anus,gubernaculurn length in µm,number of body annules between anterior and excretory pore,number of body annules between anus and tail tip,number of body annules between vulva and anus,number of body annules between vulva and tail tip,number of specimens on which measurements are based,portion of body from anus or cloaca to posterior terminus,SE/L (measured in same units) expressed as %).,spicule length in µm,stylet extension (odontophore) length in µm,stylet length / body diameter at base of stylet,stylet length/body length (measured in same units as %).,tail length / tail diameter at anus or cloaca,total number of body annules,Flickr URL,Dir,Annotated
./../../Slide/ogf-0010/Metadata.ods,,Nem_0004,,14,137.3,,Criconematidae,,,628.1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0010/Metadata.ods,
./../../Slide/ogf-0013/Metadata.ods,,Nem_0005,,18.9,139,,Criconematidae,,,728.79,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0013/Metadata.ods,
./../../Slide/ogf-0014/Metadata.ods,,Nem_0009,,13.1,136.9,,Criconematidae,,,570.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0014/Metadata.ods,
./../../Slide/ogf-0014/Metadata.ods,,Nem_0010,,15.4,135.9,,Criconematidae,,,679.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0014/Metadata.ods,
./../../Slide/ogf-0015/Metadata.ods,,Nem_0006,,9.9,137,,Criconematidae,,,629.25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0015/Metadata.ods,
./../../Slide/ogf-0018/Metadata.ods,,Nem_0002,,9.5,139.5,,Criconematidae,,,644.08,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0018/Metadata.ods,
./../../Slide/ogf-0019/Metadata.ods,,Nem_0012,,18.5,137,,Criconematidae,,,687.73,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0019/Metadata.ods,
./../../Slide/ogf-0020/Metadata.ods,,Nem_0004,,11.3,135.2,,Criconematidae,,,653.06,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0020/Metadata.ods,
./../../Slide/ogf-0002/Metadata.ods,,Nem_0001,,11.5,138.5,,Dorylaimidae,,,2387.99,1153.48,0.483033849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0002/Metadata.ods,
./../../Slide/ogf-0002/Metadata.ods,,Nem_0002,,11,135.5,,Dorylaimidae,,,1658.09,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0002/Metadata.ods,
./../../Slide/ogf-0002/Metadata.ods,,Nem_0003,,13,134.1,,Dorylaimidae,,,2228.92,1108.12,0.497155573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0002/Metadata.ods,
./../../Slide/ogf-0002/Metadata.ods,,Nem_0007,,17.9,134.9,,Dorylaimidae,,,1476.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0002/Metadata.ods,
./../../Slide/ogf-0004/Metadata.ods,,Nem_0002,,7.5,143.8,,Dorylaimidae,,,1129.98,757.07,0.669985309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0004/Metadata.ods,
./../../Slide/ogf-0004/Metadata.ods,,Nem_0004,,9.5,146.5,,Dorylaimidae,,,907.27,725.27,0.799398195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0004/Metadata.ods,
./../../Slide/ogf-0004/Metadata.ods,,Nem_0008,,15.9,134.1,,Dorylaimidae,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0004/Metadata.ods,
./../../Slide/ogf-0007/Metadata.ods,,Nem_0005,,13.1,138,,Dorylaimidae,,,2666.28,1397.73,0.524224763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0007/Metadata.ods,
./../../Slide/ogf-0008/Metadata.ods,,Nem_0001,dd,11.9,134.9,,Dorylaimidae,,,2258.82,1176.38,0.520794043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0008/Metadata.ods,
./../../Slide/ogf-0008/Metadata.ods,,Nem_0003,,16,131,,Dorylaimidae,,,3508.05,1989.02,0.566987358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0008/Metadata.ods,
./../../Slide/ogf-0010/Metadata.ods,,Nem_0001,,11.9,141,,Dorylaimidae,,,1103.27,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0010/Metadata.ods,
./../../Slide/ogf-0010/Metadata.ods,,Nem_0006,,18,143,,Dorylaimidae,,,990.43,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0010/Metadata.ods,
./../../Slide/ogf-0011/Metadata.ods,,Nem_0002,,10.1,136.5,,Dorylaimidae,,,864.23,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0011/Metadata.ods,
./../../Slide/ogf-0011/Metadata.ods,,Nem_0005,,13,142,,Dorylaimidae,,,3749.97,1984.2,0.529124233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0011/Metadata.ods,
./../../Slide/ogf-0011/Metadata.ods,,Nem_0006,,14,138,,Dorylaimidae,,,1463.04,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0011/Metadata.ods,
./../../Slide/ogf-0011/Metadata.ods,,Nem_0008,,17.5,140,,Dorylaimidae,,,688.16,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0011/Metadata.ods,
./../../Slide/ogf-0012/Metadata.ods,,Nem_0005,,11.9,136.3,,Dorylaimidae,,,634.94,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0012/Metadata.ods,
./../../Slide/ogf-0012/Metadata.ods,,Nem_0007,,12.1,142,,Dorylaimidae,,,616.77,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0012/Metadata.ods,
./../../Slide/ogf-0012/Metadata.ods,,Nem_0008,,13,140,,Dorylaimidae,,,2247.91,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0012/Metadata.ods,
./../../Slide/ogf-0012/Metadata.ods,,Nem_0010,,13.9,141,,Dorylaimidae,,,2503.77,1270.35,0.507374879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0012/Metadata.ods,
./../../Slide/ogf-0012/Metadata.ods,,Nem_0011,,16,143.2,,Dorylaimidae,,,1469.82,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0012/Metadata.ods,
./../../Slide/ogf-0013/Metadata.ods,,Nem_0002,,14.9,138,,Dorylaimidae,,,1497.75,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0013/Metadata.ods,
./../../Slide/ogf-0014/Metadata.ods,,Nem_0002,,7,139,,Dorylaimidae,,,932.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0014/Metadata.ods,
./../../Slide/ogf-0014/Metadata.ods,,Nem_0003,,8.4,136.1,,Dorylaimidae,,,510.41,,-177.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0014/Metadata.ods,
./../../Slide/ogf-0014/Metadata.ods,,Nem_0006,,11,137.1,,Dorylaimidae,,,2275.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0014/Metadata.ods,
./../../Slide/ogf-0014/Metadata.ods,,Nem_0007,,11.5,139.9,,Dorylaimidae,,,1741.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0014/Metadata.ods,
./../../Slide/ogf-0014/Metadata.ods,,Nem_0008,,13,134.5,,Dorylaimidae,,,2436.91,,1244.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0014/Metadata.ods,
./../../Slide/ogf-0015/Metadata.ods,,Nem_0002,,5.9,138.1,,Dorylaimidae,,,598.41,412.06,0.688591434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0015/Metadata.ods,
./../../Slide/ogf-0015/Metadata.ods,,Nem_0004,,8.3,138,,Dorylaimidae,Acrobeles,,512.2,325.25,0.635005857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0015/Metadata.ods,
./../../Slide/ogf-0015/Metadata.ods,,Nem_0009,,13.3,130.1,,Dorylaimidae,,,903.14,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0015/Metadata.ods,
./../../Slide/ogf-0015/Metadata.ods,,Nem_0011,,14,136.9,,Dorylaimidae,,,607.15,410.94,0.67683439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0015/Metadata.ods,
./../../Slide/ogf-0016/Metadata.ods,,Nem_0001,,3.9,137.3,,Dorylaimidae,,,647.16,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0016/Metadata.ods,
./../../Slide/ogf-0017/Metadata.ods,,Nem_0006,,15.9,136.5,,Dorylaimidae,,,892.23,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0017/Metadata.ods,
./../../Slide/ogf-0018/Metadata.ods,,Nem_0003,,11.6,134.5,,Dorylaimidae,,,613.47,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0018/Metadata.ods,
./../../Slide/ogf-0018/Metadata.ods,,Nem_0006,,14.1,142.9,,Dorylaimidae,,,515.77,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0018/Metadata.ods,
./../../Slide/ogf-0018/Metadata.ods,,Nem_0008,,14.9,134.9,,Dorylaimidae,,,607.26,412.77,0.679725324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0018/Metadata.ods,
./../../Slide/ogf-0019/Metadata.ods,,Nem_0001,,8.9,137.2,,Dorylaimidae,,,586.38,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0019/Metadata.ods,
./../../Slide/ogf-0019/Metadata.ods,,Nem_0002,,10,136.1,,Dorylaimidae,,,1020.61,553.17,0.541999393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0019/Metadata.ods,
./../../Slide/ogf-0019/Metadata.ods,,Nem_0004,,12.5,141.3,,Dorylaimidae,,,1741.83,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0019/Metadata.ods,
./../../Slide/ogf-0019/Metadata.ods,,Nem_0011,,17.5,135.5,,Dorylaimidae,,,558.63,308.51,0.552261783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0019/Metadata.ods,
./../../Slide/ogf-0020/Metadata.ods,,Nem_0014,,16.9,137.1,,Dorylaimidae,,,1248.6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0020/Metadata.ods,
./../../Slide/ogf-0021/Metadata.ods,,Nem_0002,,13,137.9,,Dorylaimidae,,,1284.66,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0021/Metadata.ods,
./../../Slide/ogf-0021/Metadata.ods,,Nem_0003,,13.9,133.2,,Dorylaimidae,,,2491.67,1264.96,0.507675575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0021/Metadata.ods,
./../../Slide/ogf-0021/Metadata.ods,,Nem_0004,,15.1,138.5,,Dorylaimidae,,,784.4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0021/Metadata.ods,
./../../Slide/ogf-0021/Metadata.ods,,Nem_0005,,17,138,,Dorylaimidae,,,1160.87,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0021/Metadata.ods,
./../../Slide/ogf-0007/Metadata.ods,,Nem_0001,,9.5,142,,Mononchidae,,,2479.78,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0007/Metadata.ods,
./../../Slide/ogf-0007/Metadata.ods,,Nem_0003,,11.5,136.5,,Mononchidae,,,1298.97,800.36,0.616149719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0007/Metadata.ods,
./../../Slide/ogf-0009/Metadata.ods,,Nem_0001,dd,15.9,140,,Mononchidae,,,2111.08,1351.77,0.640321542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0009/Metadata.ods,
./../../Slide/ogf-0011/Metadata.ods,,Nem_0001,dd,9.9,140,,Mononchidae,,,2035.35,1274.26,0.626064313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0011/Metadata.ods,
./../../Slide/ogf-0015/Metadata.ods,,Nem_0001,dd,5.9,139.5,,Mononchidae,,,1248.61,752.48,0.602654151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0015/Metadata.ods,
./../../Slide/ogf-0015/Metadata.ods,,Nem_0013,,15,138.2,,Mononchidae,,,1588.63,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0015/Metadata.ods,
./../../Slide/ogf-0015/Metadata.ods,,Nem_0014,,17,137.5,,Mononchidae,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0015/Metadata.ods,
./../../Slide/ogf-0016/Metadata.ods,,Nem_0002,,13.8,139.5,,Mononchidae,,,937.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0016/Metadata.ods,
./../../Slide/ogf-0017/Metadata.ods,,Nem_0004,,13.1,138.2,,Mononchidae,,,2031.1,1257.14,0.618945399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0017/Metadata.ods,
./../../Slide/ogf-0021/Metadata.ods,,Nem_0001,,11.5,141.5,,Mononchidae,,,812.94,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0021/Metadata.ods,
./../../Slide/ogf-0012/Metadata.ods,,Nem_0002,,9,138,,Need ID,,,538.04,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0012/Metadata.ods,
./../../Slide/ogf-0001/Metadata.ods,,Nem_0002,,11.6,135.9,,Plectidae,,,652.27,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0001/Metadata.ods,
./../../Slide/ogf-0001/Metadata.ods,,Nem_0003,,14.1,141,,Plectidae,,,553.03,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0001/Metadata.ods,
./../../Slide/ogf-0001/Metadata.ods,,Nem_0005,,9.1,131.3,,Plectidae,,,668.57,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0001/Metadata.ods,
./../../Slide/ogf-0001/Metadata.ods,,Nem_0007,,13.5,140.6,,Plectidae,,,569.7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0001/Metadata.ods,
./../../Slide/ogf-0002/Metadata.ods,,Nem_0006,,16.5,139.1,,Plectidae,,,943.83,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0002/Metadata.ods,
./../../Slide/ogf-0003/Metadata.ods,,Nem_0001,,9.1,134,,Plectidae,,,832.86,449.27,0.539430396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0003/Metadata.ods,
./../../Slide/ogf-0003/Metadata.ods,,Nem_0006,,16.1,138.9,,Plectidae,,,548.42,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0003/Metadata.ods,
./../../Slide/ogf-0004/Metadata.ods,,Nem_0006,,13,134.1,,Plectidae,,,1299.1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0004/Metadata.ods,
./../../Slide/ogf-0005/Metadata.ods,,Nem_0001,dd,10.1,135,,Plectidae,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0005/Metadata.ods,
./../../Slide/ogf-0005/Metadata.ods,,Nem_0002,,13,136.2,,Plectidae,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0005/Metadata.ods,
./../../Slide/ogf-0005/Metadata.ods,,Nem_0003,,13.9,134,,Plectidae,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0005/Metadata.ods,
./../../Slide/ogf-0005/Metadata.ods,,Nem_0004,,13.1,136,,Plectidae,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0005/Metadata.ods,
./../../Slide/ogf-0006/Metadata.ods,,Nem_0003,,13.1,138.2,,Plectidae,,,903.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0006/Metadata.ods,
./../../Slide/ogf-0010/Metadata.ods,,Nem_0002,,12.1,137.5,,Plectidae,,,737.69,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0010/Metadata.ods,
./../../Slide/ogf-0010/Metadata.ods,,Nem_0005,,16.9,139,,Plectidae,,,773.3,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0010/Metadata.ods,
./../../Slide/ogf-0011/Metadata.ods,,Nem_0003,,11,139,,Plectidae,,,739.19,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0011/Metadata.ods,
./../../Slide/ogf-0011/Metadata.ods,,Nem_0009,,19,139.1,,Plectidae,,,655.37,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0011/Metadata.ods,
./../../Slide/ogf-0012/Metadata.ods,,Nem_0001,dd,8,138,,Plectidae,,,693.68,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0012/Metadata.ods,
./../../Slide/ogf-0012/Metadata.ods,,Nem_0004,,11.9,143,,Plectidae,,,595.43,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0012/Metadata.ods,
./../../Slide/ogf-0012/Metadata.ods,,Nem_0006,,12.1,139,,Plectidae,,,683.69,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0012/Metadata.ods,
./../../Slide/ogf-0012/Metadata.ods,,Nem_0009,,14,137,,Plectidae,,,1175.72,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0012/Metadata.ods,
./../../Slide/ogf-0013/Metadata.ods,,Nem_0001,dd,13.9,140.3,,Plectidae,,,1160.84,584.37,0.503402708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0013/Metadata.ods,
./../../Slide/ogf-0013/Metadata.ods,,Nem_0004,,17.1,134.9,,Plectidae,,,558.19,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0013/Metadata.ods,
./../../Slide/ogf-0014/Metadata.ods,,Nem_0004,,9.7,135,,Plectidae,,,1091.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0014/Metadata.ods,
./../../Slide/ogf-0014/Metadata.ods,,Nem_0005,,9.9,137.1,,Plectidae,,,791.73,,383.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0014/Metadata.ods,
./../../Slide/ogf-0014/Metadata.ods,,Nem_0011,,15.2,138,,Plectidae,,,1069.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0014/Metadata.ods,
./../../Slide/ogf-0015/Metadata.ods,,Nem_0003,,7.9,139.2,,Plectidae,,,826.68,412.34,0.498790342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0015/Metadata.ods,
./../../Slide/ogf-0015/Metadata.ods,,Nem_0008,,10.1,134,,Plectidae,,,1197.39,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0015/Metadata.ods,
./../../Slide/ogf-0015/Metadata.ods,,Nem_0010,,13.9,132,,Plectidae,,,599.81,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0015/Metadata.ods,
./../../Slide/ogf-0015/Metadata.ods,,Nem_0012,,14.5,134,,Plectidae,,,1039.84,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0015/Metadata.ods,
./../../Slide/ogf-0017/Metadata.ods,,Nem_0001,,8.9,132.1,,Plectidae,Plectus,,671.64,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0017/Metadata.ods,
./../../Slide/ogf-0017/Metadata.ods,,Nem_0002,,9.9,136.1,,Plectidae,Plectus,,816.73,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0017/Metadata.ods,
./../../Slide/ogf-0017/Metadata.ods,,Nem_0005,,15.3,141,,Plectidae,Plectus,,1105.71,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0017/Metadata.ods,
./../../Slide/ogf-0018/Metadata.ods,,Nem_0004,,12,136,,Plectidae,Plectus,,867.97,433.11,0.498991901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0018/Metadata.ods,
./../../Slide/ogf-0018/Metadata.ods,,Nem_0005,,14,137,,Plectidae,Anaplectus,,937.56,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,./../../Slide/ogf-0018/Metadata.ods,
